,Win-Range,RMS,Abs_Energy,Tot_Energy,Shannon_Entropy,Label
0,0-255,3.4629752339796998,3070.0025526161294,481.5690278613536,1.0,Walking
1,16-271,1.778635739408749,809.8675439365395,127.03804610769247,1.0,Walking
2,32-287,0.5511298707605325,77.75849841779744,12.197411516517246,1.0,Walking
3,48-303,0.549274210525289,77.23575253713396,12.115412162687681,1.0,Walking
4,64-319,0.5511175962370819,77.75503484982765,12.196868211737671,1.0,Walking
5,80-335,0.5564401221945446,79.2641560544972,12.433593106587796,1.0,Walking
6,96-351,0.5550556935339742,78.87022666866717,12.371800261751714,1.0,Walking
7,112-367,2.5198137656416644,1625.4621218604093,254.97445048790735,1.0,Walking
8,128-383,2.4904292775145267,1587.772924493191,249.0624195283437,1.0,Walking
9,144-399,2.504760725188108,1606.099530353883,251.93718123198164,1.0,Walking
10,160-415,2.4940682662566975,1592.4163882876644,249.79080600590814,1.0,Walking
11,176-431,2.497277267202678,1596.5167998175425,250.43400781451646,1.0,Walking
12,192-447,2.4809836870182567,1575.7516941441797,247.17673633634192,1.0,Walking
13,208-463,2.4685546839864387,1560.003130324835,244.70637338428784,1.0,Walking
14,224-479,2.492628603484227,1590.5785228563784,249.50251338923582,1.0,Walking
15,240-495,2.480305642016127,1574.89051592116,247.04164955626038,1.0,Walking
16,256-511,2.4784768821213157,1572.5689997337086,246.67749015430724,1.0,Walking
17,272-527,2.4764382662626163,1569.9831005721069,246.27185891327167,1.0,Walking
18,288-543,2.4743240592728175,1567.3035648758564,245.85153958836963,1.0,Walking
19,304-559,2.4729267581558174,1565.5338883079783,245.5739432639966,1.0,Walking
20,320-575,2.4710159565068883,1563.1154834717831,245.19458564263266,1.0,Walking
21,336-591,2.4685672503057887,1560.0190129362643,244.70886477431597,1.0,Walking
22,352-607,2.466506655502196,1557.4157008989769,244.3005021018003,1.0,Walking
